iter	MAE
0	573.4663153
1	557.8426444
2	542.8109157
3	530.4068539
4	520.3123873
5	510.6581952
6	503.1103954
7	494.9723206
8	488.5592326
9	481.7886644
10	475.7091956
11	470.5910846
12	466.4055601
13	461.8566235
14	457.5845664
15	452.2686628
16	447.5396963
17	443.2733205
18	439.5866178
19	437.4198393
20	434.5447877
21	431.7846782
22	429.0906309
23	425.0452067
24	420.9592305
25	418.3188496
26	415.5526014
27	413.2308213
28	410.1821603
29	407.5847533
30	405.5301141
31	402.654901
32	400.4743642
33	398.5219412
34	395.8657102
35	395.485579
36	394.2585054
37	392.4778299
38	390.0413709
39	387.9134338
40	386.5871667
41	384.5910389
42	382.5904952
43	380.2281703
44	378.8378977
45	377.2630304
46	375.7871075
47	374.8338408
48	372.1915707
49	369.238766
50	367.5134352
51	366.112299
52	365.0305258
53	364.956833
54	363.0633905
55	360.9454248
56	360.0474896
57	356.9777315
58	355.9302465
59	354.7036565
60	352.0381896
61	350.4872963
62	350.0062984
63	349.0218299
64	347.0670878
65	346.2018591
66	344.8146251
67	343.1556437
68	342.2393383
69	341.1895726
70	339.9275425
71	338.2769288
72	337.4113246
73	335.5710204
74	334.2373668
75	332.7467482
76	331.8981538
77	331.1126365
78	328.9697998
79	328.2047389
80	326.645482
81	324.9065807
82	324.0678267
83	323.3768911
84	322.4771685
85	319.6002673
86	319.2126144
87	318.0237704
88	316.8768799
89	314.7599182
90	313.9350493
91	312.2577775
92	311.2605756
93	309.4859825
94	308.4168365
95	307.0662027
96	306.1366993
97	305.7506662
98	304.9356712
99	304.533074
