iter	RMSE_SumError	RMSE_SumWeight	MAPE_SumError	MAPE_SumWeight	MAE_SumError	MAE_SumWeight
0	9362525758	8061	44125.00933	8061	4458136.59	8061
1	9068676587	8061	44015.64209	8061	4362716.309	8061
2	8823403103	8061	44050.13058	8061	4279975.454	8061
3	8611956391	8061	43829.88886	8061	4209285.143	8061
4	8418827148	8061	43742.36317	8061	4145639.589	8061
5	8247712696	8061	43468.46266	8061	4092444.947	8061
6	8101480229	8061	43458.48357	8061	4045322.586	8061
7	7997521996	8061	43340.26732	8061	4010195.568	8061
8	7894018847	8061	43137.19975	8061	3975343.759	8061
9	7819402721	8061	43032.59374	8061	3947543.83	8061
10	7756347726	8061	42817.34851	8061	3923202.052	8061
11	7702749044	8061	42891.18615	8061	3907137.978	8061
12	7662808420	8061	42828.9236	8061	3893412.187	8061
13	7615708721	8061	42863.11152	8061	3877133.709	8061
14	7588458922	8061	43003.56801	8061	3868945.071	8061
15	7564972829	8061	42773.66779	8061	3859761.619	8061
16	7544539073	8061	43114.72701	8061	3853127.834	8061
17	7525625870	8061	43083.60503	8061	3845882.939	8061
18	7509270395	8061	43049.09801	8061	3840480.676	8061
19	7499004846	8061	42969.84088	8061	3836883.393	8061
20	7489283042	8061	42962.62208	8061	3833941.63	8061
21	7477121542	8061	42761.01713	8061	3832208.042	8061
22	7456171734	8061	42678.12994	8061	3828949.886	8061
23	7449804824	8061	42478.60852	8061	3824382.735	8061
24	7450018626	8061	42636.18071	8061	3823751.963	8061
25	7440610389	8061	42566.03992	8061	3822429.843	8061
26	7438160543	8061	42610.07703	8061	3821163.923	8061
27	7427475620	8061	42518.87011	8061	3820086.809	8061
28	7419232997	8061	42596.92223	8061	3819198.291	8061
29	7396007246	8061	42604.54947	8061	3816085.033	8061
30	7390658130	8061	42616.63373	8061	3814451.887	8061
31	7385324720	8061	42543.91616	8061	3814503.046	8061
32	7370891949	8061	42638.6828	8061	3812105.45	8061
