iter	Passed	Remaining
0	1564	154854
1	2826	138505
2	3938	127345
3	5205	124923
4	5471	103954
5	6589	103236
6	6625	88018
7	7868	90482
8	9155	92572
9	10577	95200
10	11585	93740
11	12594	92362
12	13703	91705
13	14715	90392
14	16366	92742
15	18032	94670
16	19613	95761
17	21209	96620
18	22691	96738
19	24219	96876
20	25453	95752
21	26493	93930
22	27532	92173
23	28618	90624
24	29810	89431
25	30911	87978
26	31954	86395
27	32993	84840
28	34068	83408
29	35104	81911
30	36464	81163
31	37731	80178
32	38959	79099
33	40002	77652
34	41023	76186
35	41026	72936
36	42057	71611
37	43097	70316
38	44140	69040
39	45172	67758
40	46200	66483
41	47210	65195
42	48264	63979
43	49308	62755
44	50344	61532
45	51375	60310
46	52413	59104
47	53426	57878
48	54448	56670
49	55479	55479
50	56526	54309
51	57602	53171
52	58626	51989
53	58628	49942
54	59665	48817
55	60686	47682
56	61699	46545
57	62735	45429
58	63763	44310
59	64826	43217
60	65855	42104
61	66877	40989
62	67901	39878
63	68905	38759
64	69928	37654
65	70955	36552
66	71984	35455
67	73239	34465
68	74332	33395
69	75354	32294
70	76361	31189
71	77366	30087
72	78373	28987
73	79391	27894
74	80437	26812
75	81461	25724
76	82511	24646
77	83547	23564
78	84584	22484
79	85608	21402
80	86642	20323
81	87686	19248
82	88732	18174
83	89743	17094
84	90776	16019
85	91819	14947
86	92846	13873
87	93889	12803
88	94920	11731
89	95935	10659
90	96946	9588
91	98012	8522
92	99067	7456
93	100109	6389
94	101139	5323
95	102160	4256
96	103187	3191
97	104219	2126
98	105262	1063
99	106305	0
