order_acknowledged_at,order_value_gbp,restaurant_id,number_of_items,prep_time_seconds,country,city,type_of_food
2015-06-01 12:28:28.952789+01:00,59.9,1326,2,6220,UK,London,burritos
2015-06-06 17:06:24.434807+01:00,24.0,1326,8,603,UK,London,burritos
2015-06-08 14:56:15.503204+01:00,15.25,1326,3,443,UK,London,burritos
2015-06-12 15:12:20.497925+01:00,28.05,1326,8,669,UK,London,burritos
2015-06-01 13:07:10.794050+01:00,56.3,255,7,3314,UK,London,chinese
2015-06-01 21:01:37.821061+01:00,18.2,255,3,1049,UK,London,chinese
2015-06-01 21:04:36.202365+01:00,43.2,255,4,1468,UK,London,chinese
2015-06-01 21:47:34.348035+01:00,35.8,255,4,1300,UK,London,chinese
2015-06-01 22:11:51.488954+01:00,30.0,255,3,1254,UK,London,chinese
2015-06-03 13:17:14.357417+01:00,168.2,255,13,5209,UK,London,chinese
2015-06-03 13:30:15.882766+01:00,16.0,255,1,1801,UK,London,chinese
2015-06-05 14:04:53.779472+01:00,151.1,255,12,2842,UK,London,chinese
2015-06-06 13:16:11.536512+01:00,136.8,255,13,3780,UK,London,chinese
2015-06-06 21:50:06.288226+01:00,17.4,255,3,640,UK,London,chinese
2015-06-08 20:36:05.383585+01:00,20.6,255,3,1072,UK,London,chinese
2015-06-08 21:26:56.848149+01:00,25.4,255,3,644,UK,London,chinese
2015-06-08 21:40:03.910137+01:00,25.4,255,3,724,UK,London,chinese
2015-06-08 22:52:57.268714+01:00,18.2,255,3,860,UK,London,chinese
2015-06-09 15:46:27.429408+01:00,20.6,255,3,725,UK,London,chinese
2015-06-09 18:57:47.054681+01:00,17.8,255,3,857,UK,London,chinese
2015-06-10 19:01:00.910077+01:00,22.3,255,3,970,UK,London,chinese
2015-06-13 21:41:46.512923+01:00,20.6,255,3,532,UK,London,chinese
2015-06-13 23:26:38.111774+01:00,21.3,255,4,1528,UK,London,chinese
2015-06-15 19:25:50.500125+01:00,30.4,255,3,3848,UK,London,chinese
2015-06-15 20:38:08.534948+01:00,23.4,255,3,1446,UK,London,chinese
2015-06-16 13:01:17.449761+01:00,18.6,255,2,3514,UK,London,chinese
2015-06-16 18:04:23.661283+01:00,22.4,255,3,4442,UK,London,chinese
2015-06-16 20:25:24.940995+01:00,33.6,255,3,977,UK,London,chinese
2015-06-17 21:23:44.091467+01:00,57.7,255,7,3186,UK,London,chinese
2015-06-17 21:43:32.892646+01:00,17.2,255,3,934,UK,London,chinese
2015-06-19 20:53:35.327214+01:00,25.4,255,3,994,UK,London,chinese
2015-06-20 22:07:57.451931+01:00,30.0,255,4,1751,UK,London,chinese
2015-06-22 21:12:50.778830+01:00,17.2,255,3,1212,UK,London,chinese
2015-06-22 23:00:54.527056+01:00,93.4,255,8,1346,UK,London,chinese
2015-06-29 22:34:17.629256+01:00,24.1,255,3,1336,UK,London,chinese
2015-06-30 18:20:32.078810+01:00,21.6,255,2,983,UK,London,chinese
2015-06-01 10:34:00.351812+01:00,15.1,2276,3,12509,UK,London,healthy
2015-06-01 11:22:56.328104+01:00,36.0,2276,4,7260,UK,London,healthy
2015-06-01 12:44:57.076113+01:00,22.0,2276,4,3187,UK,London,healthy
2015-06-01 17:46:39.374610+01:00,25.0,2276,3,1437,UK,London,healthy
2015-06-01 19:01:57.298499+01:00,36.75,2276,5,875,UK,London,healthy
2015-06-01 19:04:18.087648+01:00,17.5,2276,3,976,UK,London,healthy
2015-06-01 19:06:53.985624+01:00,12.75,2276,3,830,UK,London,healthy
