order_value_gbp,restaurant_id,number_of_items,prep_time_seconds,city,type_of_food,day,hour,average_prep_resteraunt,min_prep_restauraunt,max_prep_restauraunt
59.9,1326,2,6220,London,burritos,Monday,12,1983.75,443,6220
24.0,1326,8,603,London,burritos,Saturday,17,1983.75,443,6220
15.25,1326,3,443,London,burritos,Monday,14,1983.75,443,6220
28.05,1326,8,669,London,burritos,Friday,15,1983.75,443,6220
56.3,255,7,3314,London,chinese,Monday,13,1766.8125,532,5209
18.2,255,3,1049,London,chinese,Monday,21,1766.8125,532,5209
43.2,255,4,1468,London,chinese,Monday,21,1766.8125,532,5209
35.8,255,4,1300,London,chinese,Monday,21,1766.8125,532,5209
30.0,255,3,1254,London,chinese,Monday,22,1766.8125,532,5209
168.2,255,13,5209,London,chinese,Wednesday,13,1766.8125,532,5209
16.0,255,1,1801,London,chinese,Wednesday,13,1766.8125,532,5209
151.1,255,12,2842,London,chinese,Friday,14,1766.8125,532,5209
136.8,255,13,3780,London,chinese,Saturday,13,1766.8125,532,5209
17.4,255,3,640,London,chinese,Saturday,21,1766.8125,532,5209
20.6,255,3,1072,London,chinese,Monday,20,1766.8125,532,5209
25.4,255,3,644,London,chinese,Monday,21,1766.8125,532,5209
25.4,255,3,724,London,chinese,Monday,21,1766.8125,532,5209
18.2,255,3,860,London,chinese,Monday,22,1766.8125,532,5209
20.6,255,3,725,London,chinese,Tuesday,15,1766.8125,532,5209
17.8,255,3,857,London,chinese,Tuesday,18,1766.8125,532,5209
22.3,255,3,970,London,chinese,Wednesday,19,1766.8125,532,5209
20.6,255,3,532,London,chinese,Saturday,21,1766.8125,532,5209
21.3,255,4,1528,London,chinese,Saturday,23,1766.8125,532,5209
30.4,255,3,3848,London,chinese,Monday,19,1766.8125,532,5209
23.4,255,3,1446,London,chinese,Monday,20,1766.8125,532,5209
18.6,255,2,3514,London,chinese,Tuesday,13,1766.8125,532,5209
22.4,255,3,4442,London,chinese,Tuesday,18,1766.8125,532,5209
33.6,255,3,977,London,chinese,Tuesday,20,1766.8125,532,5209
57.7,255,7,3186,London,chinese,Wednesday,21,1766.8125,532,5209
17.2,255,3,934,London,chinese,Wednesday,21,1766.8125,532,5209
25.4,255,3,994,London,chinese,Friday,20,1766.8125,532,5209
30.0,255,4,1751,London,chinese,Saturday,22,1766.8125,532,5209
17.2,255,3,1212,London,chinese,Monday,21,1766.8125,532,5209
93.4,255,8,1346,London,chinese,Monday,23,1766.8125,532,5209
24.1,255,3,1336,London,chinese,Monday,22,1766.8125,532,5209
21.6,255,2,983,London,chinese,Tuesday,18,1766.8125,532,5209
15.1,2276,3,12509,London,healthy,Monday,10,1894.6363636363637,160,12696
36.0,2276,4,7260,London,healthy,Monday,11,1894.6363636363637,160,12696
22.0,2276,4,3187,London,healthy,Monday,12,1894.6363636363637,160,12696
25.0,2276,3,1437,London,healthy,Monday,17,1894.6363636363637,160,12696
